,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
last_s[36],0.005233124289300969,0.17847444045800154,-0.27147333697050313,0.32647121453107875,119.14371169815388,110.86108610861083,1.0304859141853246,0.016744881481123696,0.010058908987552819
last_s[37],-0.21725750060689786,0.1405182816866801,-0.4364153299241581,-0.006209400240783797,45.07207707468048,30.380337684495178,1.0154228035737278,0.021391665100299617,0.013656900668678536
last_s[38],-0.31965708388714587,0.19567815567898525,-0.679480045478312,-0.012868454952966976,92.18556969468618,79.41981508222162,1.0659504955547348,0.01935213566551522,0.018255091819277685
last_s[39],0.042065841274171636,0.19247247327843112,-0.2524530768805765,0.32970368039530057,72.98900829457727,96.0944736029639,1.026747171369805,0.02226477996451696,0.013932736021034332
last_s[40],-0.01746841333164385,0.14413568720071945,-0.2692672753379468,0.213825138443516,102.01536370364886,90.73987901349463,1.0127254883092096,0.014449260296695307,0.013627683121901109
last_s[41],-0.1721407300476627,0.20271334371647298,-0.5212439451187202,0.137549275775217,94.53517826706623,89.6649932419386,1.0035580770804469,0.02048973513257706,0.013649265944525486
last_s[42],0.006956627886378107,0.14472929490251016,-0.20422799992680343,0.20478438548587996,88.10483434165057,90.25447598520658,0.9885243521480676,0.015556137343162853,0.011318864380048274
last_s[43],0.029578328375362128,0.14898965363853325,-0.1791876280594338,0.2719518966256599,116.74963270013276,92.98745867925005,1.0074162177501107,0.014061520548768964,0.01666407089761209
last_s[44],-0.06885846583420019,0.1844098682151942,-0.37474106392035883,0.23116781315642837,112.66965698304274,86.76309598677008,0.9943197081312318,0.017304051326866167,0.01363397139253885
last_s[45],-0.19456795991192727,0.20584280182248052,-0.4478418539247061,0.16977161715101347,121.32037941366859,85.82559871662653,1.0264635055483606,0.019084819065964116,0.028246806699334204
last_s[46],-0.16700291790571356,0.13822336689140116,-0.35630823718138804,0.0636868803449324,153.3023744773896,114.69389025490987,1.0020674187795442,0.010965243570692172,0.010869527358476905
last_s[47],-0.20906096242302982,0.173788941988745,-0.46869305630828745,0.05540179128236476,88.86323786220797,48.429403109206056,0.9941172856425504,0.017368484241198877,0.008724518969844115
last_s[48],0.06891724924060122,0.0811441790227259,-0.06334577162864355,0.19961733803768872,149.40027608531796,69.34543097861315,1.0170124287480016,0.006508947223077075,0.005206289053808991
last_s[49],0.008080207804466973,0.14890164523131316,-0.23299478480958558,0.24244470879038185,128.10299771389396,68.4047855505332,1.0178937933383443,0.013147187861393237,0.014152359005113116
last_s[50],0.07533945015535955,0.07405191709412699,-0.05264402391787027,0.18161475924149342,121.02000339104174,89.42579228114215,1.0050085138171698,0.006603826173431153,0.0072452853897592585
last_s[51],0.09422734670209382,0.07870984817635715,-0.022292218558828073,0.2187393115832845,110.7838434493353,58.51088628840506,1.0026385389524903,0.007539798966667823,0.005624777698522943
last_s[52],0.0013591129219449882,0.135364327404699,-0.20762780148757098,0.18727669181985807,111.03758724226445,96.21661139977546,0.9873755357170697,0.013514609639670385,0.009357023680594614
last_s[53],-0.06558815113948765,0.18552772910395604,-0.3710343651828659,0.2345603118942235,118.89730931824711,112.46669895858565,0.986405194911267,0.017009357082839897,0.012809516005077345
last_s[54],0.07067039250510025,0.09909849083602176,-0.09468271984991174,0.20658464377972727,148.67782728654117,102.02274739494653,1.0273384059150255,0.008164253123757795,0.011308895083090147
last_s[55],-0.049021198124350365,0.1068866818662092,-0.24334178729523875,0.11852473650303726,118.3725822440328,104.09935095951225,1.0296675331299883,0.009637495350466959,0.008202163758313386
last_s[56],-0.16698463812259362,0.16084233621301935,-0.37929386008841603,0.11511418371745069,110.74214317905378,19.18575935150648,1.018490370016808,0.015605293263703487,0.010725628976917409
last_s[57],-0.27806025752465396,0.1579209558485702,-0.510794580335275,-0.0374553924958608,123.49029243984599,92.98745867925005,0.9917403068939454,0.014008763174059548,0.01131197785558657
last_s[58],0.09901027910164945,0.12684447297147566,-0.10583667986829173,0.29869217695329786,93.35310792352902,92.53693964437764,1.0205742122279966,0.013143895543592847,0.010843044991669454
last_s[59],0.02681687799340683,0.1144708114563106,-0.14730225075402922,0.1805194173666587,107.86953160767355,106.37076167781574,0.9958566405411393,0.011075389717215502,0.014012604960878059
last_s[60],0.02988980272493973,0.17387274851450654,-0.18544069577618444,0.2974229062893003,186.81905609412868,76.62953795379536,1.0080341515282696,0.013376842263905288,0.014389520917315258
last_s[61],-0.1022851864394336,0.23644693158522412,-0.49376573397227286,0.2160958510693893,87.31842172143007,70.78391532391439,1.0315466549281347,0.024718901142948387,0.022928281865438223
last_s[62],0.16174508358770864,0.07585835364253347,0.04465348165473375,0.2715635796167942,84.67537010703545,50.09197866624316,1.017795983392996,0.008671917030186915,0.006497698224824745
last_s[63],-0.016163026253045037,0.2291974215521955,-0.32270175147534896,0.3781564124896427,116.68007658219057,86.87088945943094,1.007383112320096,0.021787492153456663,0.019090911528592856
last_s[64],-0.14344408705070066,0.16617886889791753,-0.40049908408315,0.13595814936409836,98.76107298113303,73.52281002783292,1.0015955213339223,0.01708238386642919,0.014492796972695263
last_s[65],-0.023515126843195216,0.12793795078691858,-0.21765454729475656,0.1985985255020919,144.62275143404767,95.03533364969029,1.00282364845297,0.010517918941118738,0.009131123640387095
last_s[66],-0.2802882971176983,0.21106066551141017,-0.6297334362310675,0.07473266818739145,90.77305478080284,56.35354114487468,1.0069559088544615,0.02179334048554535,0.020871389239014618
last_s[67],0.07531168960242264,0.1625804973728959,-0.1754293179938505,0.319636756822086,123.76197931008446,80.55124223602488,1.0539171085872896,0.014028926092335199,0.013846521220060583
last_s[68],0.18635567426502217,0.20406646213841803,-0.14184017726248396,0.47572630521401643,93.2032937517384,94.54850860225999,1.0024491657951151,0.02154217095126175,0.014928286511209154
last_s[69],0.29183001930059604,0.1422672577677315,0.06952211827136731,0.5192221714182128,118.15926720441445,137.86524000149643,0.9944289758621392,0.013392248755787033,0.009806684680557513
last_s[70],-0.26562771377924793,0.21680178228765568,-0.5890662123913756,0.07885350206703519,78.73531749070351,89.09242298084929,1.0342454827312213,0.026338692438856434,0.011697762460058062
last_s[71],0.0749690536503714,0.18047559396009713,-0.18834163371034868,0.38873656636195314,102.83983483423854,75.45901689426573,1.005166634537957,0.018090400974411548,0.014694619111419267
last_s[72],-0.09706815882491875,0.17036948468980775,-0.3571756906272944,0.19132009979703157,113.89201566212945,109.41791441481357,0.987294185663195,0.015460242173431166,0.008470380062341893
last_s[73],-0.215001181977139,0.18713780879564487,-0.5218085277952493,0.09970685923941211,121.69098467111819,90.27326955818768,1.009097947266415,0.01681452188274663,0.01767922629081246
last_s[74],-0.08189386274561722,0.2540036056672329,-0.45883527241359606,0.3734943667285705,44.84426726339506,60.5154722469096,1.0587122159613043,0.0461049635625908,0.02981270680549282
last_s[75],-0.14418263666111616,0.15812942422800147,-0.3749471677306734,0.1051958660135612,161.9248157439462,89.97028943837459,1.104091503098321,0.012710546770618437,0.02175962256830701
last_s[76],0.3061982865142992,0.07945743983693791,0.19702703506697966,0.43693543327445067,180.4317845336261,86.53219044069692,1.0019130543686274,0.006294388833789517,0.006749037179119437
last_s[77],-0.13458988962644278,0.19585150093125592,-0.41343344068019233,0.20450399456950208,102.77256477293305,59.98785864911505,1.0070314618588097,0.0203648550346354,0.018419680725997985
last_s[78],-0.02627286748846247,0.11136303959180587,-0.19154200557955608,0.1570921395188636,135.15241766788216,93.65283991810118,0.9981181420180613,0.009174218664127643,0.006308724332218365
last_s[79],-0.16662398962108596,0.17690655555736556,-0.4400284828930231,0.11680705904528443,101.63092083272329,89.6649932419386,1.0090723705026912,0.017744972719087718,0.010089923598337056
last_s[80],0.0010385776870189133,0.07621975154574538,-0.12130004616316566,0.11475935207596681,188.4076857694814,85.12626492843478,1.0014626686216044,0.005489154096338664,0.004306923538931184
last_s[81],-0.12841267020948574,0.2190565509528115,-0.46462732052364725,0.2443048488777749,117.14538091200671,89.66270322737198,0.9885788597205238,0.0205196057285631,0.017930778058011587
last_s[82],-0.02733706902081664,0.20012791989169879,-0.3489319789283208,0.2612869752321631,143.51253135129159,69.97287726964515,0.9917160713182812,0.017187049949937184,0.013967143852765828
last_s[83],-0.009980178850994025,0.11513459050997812,-0.19393604876330742,0.19697293079344227,73.67940285084418,90.382526849282,1.0146711636220602,0.013431178601867575,0.006148179248967532
last_s[84],0.17339447589959125,0.07088495640972348,0.0709099289167242,0.29916369738172666,147.60642489032483,106.72188595093976,1.0057385487177009,0.005575732855627312,0.005499140339670231
last_s[85],-0.04676793955221638,0.10316414683913323,-0.2081782693580342,0.11155112662943013,164.56809998861158,64.64432605036181,1.0324062152392932,0.007724619559901608,0.011091178699574563
last_s[86],-0.0825331239358917,0.19235464441935932,-0.38223802633243775,0.22674837592302877,200.0,97.31064050928937,0.991996062776174,0.013670049328178712,0.01523885131162395
last_s[87],0.08841740475515426,0.10950806633049537,-0.10699908058834803,0.27335137390978637,65.33303653576593,76.32729799321537,1.0397785484352569,0.014236347528688324,0.008028928938241347
last_s[88],-0.1088409164599142,0.1922969208709473,-0.3745781976692022,0.2064199043808789,88.19532824001465,74.70683380509502,1.0315887854605605,0.021449351000537586,0.016117918467193938
last_s[89],0.16304716575133482,0.07723921907848959,0.03863802057986432,0.2942040295375916,125.81841891379605,131.24233397581915,1.0198767724942734,0.0069980465477122835,0.005300211162193653
